job_id,title,posting_date,location,city,state,company_name,business_category,job_category,job_family,job_schedule_type,description,job_path,updated_time
JR2000481,Senior System Software Engineering Lead for Release - Base OS,"Sep 28, 2025",4 Locations,,,NVIDIA Corporation,Technology,Technology,,Full-Time,,/job/US-CA-Santa-Clara/Senior-System-Software-Engineer--Base-OS-Engineering-Lead-for-Release_JR2000481,Posted Today
JR2000295,Distinguished Software Engineer - NVLink Fusion Software,"Sep 28, 2025",6 Locations,,,NVIDIA Corporation,Technology,Technology,,Full-Time,,/job/US-CA-Santa-Clara/Distinguished-Software-Engineer---NVLink-Fusion-Software_JR2000295,Posted Today
JR1996671,"Data Analyst, Finance","Sep 28, 2025","US, CA, Santa Clara",Santa Clara,CA,NVIDIA Corporation,Technology,Technology,,Full-Time,,/job/US-CA-Santa-Clara/Data-Analyst--Finance_JR1996671,Posted Today
JR2001011,Senior System Software Engineer Platform - Server Embedded Firmware,"Sep 28, 2025","US, CA, Santa Clara",Santa Clara,CA,NVIDIA Corporation,Technology,Technology,,Full-Time,,/job/US-CA-Santa-Clara/Senior-System-Software-Engineer-Platform---Server-Embedded-Firmware_JR2001011,Posted Today
JR1999712,Senior Platform Software Engineer – Factory,"Sep 28, 2025",2 Locations,,,NVIDIA Corporation,Technology,Technology,,Full-Time,,/job/US-CA-Santa-Clara/Senior-Platform-Software-Engineer---Factory_JR1999712,Posted Today
JR1999889,Senior GPU and HPC Infrastructure Engineer - DGX Cloud,"Sep 28, 2025",2 Locations,,,NVIDIA Corporation,Technology,Technology,,Full-Time,,/job/US-CA-Santa-Clara/Senior-Machine-Learning-Infrastructure-Engineer---DGX-Cloud_JR1999889,Posted Today
JR1999911,Senior System Software Bringup Engineer,"Sep 28, 2025",2 Locations,,,NVIDIA Corporation,Technology,Technology,,Full-Time,,/job/US-CA-Santa-Clara/Senior-System-Software-Bringup-Engineer_JR1999911,Posted Today
JR1999525,Senior System Software Engineer Platform - OpenBMC,"Sep 28, 2025",2 Locations,,,NVIDIA Corporation,Technology,Technology,,Full-Time,,/job/US-CA-Santa-Clara/Senior-System-Software-Engineer-Platform---OpenBMC_JR1999525,Posted Today
JR1998353,Senior NPI Program Manager - Datacenter Server Products,"Sep 28, 2025","US, CA, Santa Clara",Santa Clara,CA,NVIDIA Corporation,Technology,Technology,,Full-Time,,/job/US-CA-Santa-Clara/Senior-NPI-Program-Manager---Datacenter-Server-Products_JR1998353,Posted Today
JR1996363,Senior Software Program Manager - Datacenter Compute Server,"Sep 28, 2025","US, CA, Santa Clara",Santa Clara,CA,NVIDIA Corporation,Technology,Technology,,Full-Time,,/job/US-CA-Santa-Clara/Senior-Software-Program-Manager---Datacenter-Compute-Server_JR1996363,Posted Today
JR1996707,Senior Systems Software Security Engineer – Factory and Security Provisioning,"Sep 28, 2025",2 Locations,,,NVIDIA Corporation,Technology,Technology,,Full-Time,,/job/US-CA-Santa-Clara/Senior-Systems-Software-Security-Engineer---Factory-and-Security-Provisioning_JR1996707,Posted Today
JR1997214,Senior HPC Performance Engineer,"Sep 28, 2025","US, CA, Santa Clara",Santa Clara,CA,NVIDIA Corporation,Technology,Technology,,Full-Time,,/job/US-CA-Santa-Clara/Senior-HPC-Performance-Engineer_JR1997214,Posted Today
JR1973150,Senior Software Architect - Data Center Systems,"Sep 28, 2025",6 Locations,,,NVIDIA Corporation,Technology,Technology,,Full-Time,,/job/US-CA-Santa-Clara/Senior-Software-Architect---Data-Center-Systems_JR1973150,Posted Today
JR1989004,Senior Firmware Engineer - Embedded Controller,"Sep 28, 2025","US, CA, Santa Clara",Santa Clara,CA,NVIDIA Corporation,Technology,Technology,,Full-Time,,/job/US-CA-Santa-Clara/Senior-Firmware-Engineer---Embedded-Controller_JR1989004,Posted Today
JR2001014,Senior DGX Cloud Software Engineer - Infrastructure Automation and Distributed Systems,"Sep 28, 2025",3 Locations,,,NVIDIA Corporation,Technology,Technology,,Full-Time,,/job/US-CA-Santa-Clara/Senior-DGX-Cloud-Software-Engineer---Infrastructure-Automation-and-Distributed-Systems_JR2001014-1,Posted Today
JR1990846,"Senior Software Engineer, Fabric Networking - GPU","Sep 28, 2025",2 Locations,,,NVIDIA Corporation,Technology,Technology,,Full-Time,,/job/US-CA-Santa-Clara/Senior-Software-Engineer--Fabric-Networking---GPU_JR1990846,Posted Today
JR1985696,"Senior System Software Engineer, NCCL - Partner Enablement","Sep 27, 2025",3 Locations,,,NVIDIA Corporation,Technology,Technology,,Full-Time,,/job/US-CA-Santa-Clara/Senior-System-Software-Engineer--NCCL---Partner-Enablement_JR1985696,Posted Yesterday
JR2002330,Senior Datacenter System Software Architect - DGX Cloud,"Sep 27, 2025",2 Locations,,,NVIDIA Corporation,Technology,Technology,,Full-Time,,/job/US-CA-Santa-Clara/Senior-Datacenter-System-Software-Architect---DGX-Cloud_JR2002330,Posted Yesterday
JR1993516,Senior Software Engineer - Data Center System Bringup,"Sep 27, 2025","US, CA, Santa Clara",Santa Clara,CA,NVIDIA Corporation,Technology,Technology,,Full-Time,,/job/US-CA-Santa-Clara/Senior-Software-Engineer---Data-Center-System-Bringup_JR1993516,Posted Yesterday
JR1998405,Principal Software Engineer – CSP Engagements,"Sep 27, 2025","US, CA, Santa Clara",Santa Clara,CA,NVIDIA Corporation,Technology,Technology,,Full-Time,,/job/US-CA-Santa-Clara/Principal-Software-Engineer---CSP-Engagements_JR1998405,Posted Yesterday
